,org_claim,gen_claim,num_of_query,attack_result,attack_method,,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
143,Ultrasound guidance significantly reduces the number of traumatic procedures when attempting needle insertion.,Ultrasound guidance significantly reduces the number of traumatic procedures when attempting needle insertion.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
144,Varying expression levels of EBI2 affect the positioning and migration of B cells.,Varying expression levels of EBI2 affect the positioning and migration of B cells.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
145,Vitamin D deficiency effects birth weight.,Vitamin D deficiency effects birth weight.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
146,Vitamin D is an important factor in the relationship between calcium and parathyroid hormone.,Vitamin D is an important factor in the relationship between calcium and parathyroid hormone.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
147,siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
148,ALDH1 expression is associated with poorer prognosis in breast cancer.,ALDH1 expression is associated with poorer prognosis in breast cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
149,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
150,Anthrax spores can be disposed of easily after they are dispersed.,Anthrax spores can be disposed of easily after they're dispersed.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
151,Articles published in open access format are more likely to be cited than traditional journals.,Articles published in open access format are more likely to be cited than traditional journals.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
152,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
153,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
154,Autophagy declines in aged organisms.,Autophagy declines in aged organisms.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
155,Bone marrow cells contribute to adult macrophage compartments.,Bone marrow cells contribute to adult macrophage compartments.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
156,CX3CR1 on the Th2 cells suppresses airway inflammation.,CX3CR1 on the Th2 cells suppresses airway inflammation.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
157,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,Cell autonomous sex determination in somatic cells doesn't occur in Galliformes.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
158,Chenodeosycholic acid treatment increases whole-body energy expenditure.,Chenodeosycholic acid treatment increases whole-body energy expenditure.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
159,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
160,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,Deletion of αvβ8 doesn't result in a spontaneous inflammatory phenotype.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
161,Dexamethasone decreases risk of postoperative bleeding.,Dexamethasone decreases risk of postoperative bleeding.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
162,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
163,Enhanced early production of inflammatory chemokines improves viral control in the lung.,Enhanced early production of inflammatory chemokines improves viral control in the lung.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
164,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
165,Exposure to fine particulate air pollution is relate to anxiety prevalence.,Exposure to fine particulate air pollution is relate to anxiety prevalence.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
166,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
167,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
168,Glycolysis is one of the primary glycometabolic pathways in cells.,Glycolysis is two of the primary glycometabolic pathways in cells.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
169,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
170,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
171,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
172,IRG1 has antiviral effects against neurotropic viruses.,IRG1 has antiviral effects against neurotropic viruses.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
173,Incidence rates of cervical cancer have decreased.,Incidence rates of cervical cancer have decreased.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
174,Insomnia can be effectively treated with cognitive behavioral therapy.,Insomnia can be effectively treated with cognitive behavioral therapy.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
175,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
176,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
177,Macrolides protect against myocardial infarction.,Macrolides protect against myocardial infarction.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
178,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
179,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
180,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
181,NR5A2 is important in development of endometrial tissues.,NR5A2 is important in development of endometrial tissues.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
182,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
183,Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
184,PD-1 triggering on monocytes reduces IL-10 production by monocytes.,PD-1 triggering on monocytes reduces IL-10 production by monocytes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
185,Participating in six months of physical activity improves cognitive functioning.,Participating in eight months of physical activity improves cognitive functioning.,4,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
186,Podocytes are motile and migrate in the presence of injury.,Podocytes are motile and migrate in the presence of injury.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
187,Pyridostatin destabilizes the G - quadruplex in the telomeric region.,Pyridostatin destabilizes the G - quadruplex in the telomeric region.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
188,Rapid phosphotransfer rates govern fidelity in two component systems,Rapid phosphotransfer rates govern fidelity in two component systems,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
189,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
190,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
191,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
192,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
193,TNFAIP3 is a tumor suppressor in glioblastoma.,TNFAIP3 is a tumor suppressor in glioblastoma.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
195,The PRR MDA5 is a sensor of RNA virus infection.,The PRR MDA5 is a sensor of RNA virus infection.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
196,The extracellular domain of TMEM27 is cleaved in human beta cells.,The extracellular domain of TMEM27 is cleaved in human beta cells.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
197,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
198,The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
199,Transplanted human glial cells can differentiate within the host animal.,Transplanted human glial cells can differentiate within the host animal.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
200,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
201,Vitamin D deficiency effects the term of delivery.,Vitamin D deficiency effects the term of delivery.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
202,Vitamin D deficiency is unrelated to birth weight.,Vitamin D deficiency is unrelated to birth weight.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
203,cSMAC formation enhances weak ligand signalling.,cSMAC formation enhances weak ligand signalling.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
65,Incidence of sepsis has fallen substantially from 2009 to 2014.,Incidence of sepsis has fallen substantially from 2009 to 299.,7,SuccessfulAttackResult,checklist_ribeiro_2020,,0,,3,1,5,4,,
100,Participants who quit smoking reduce lung cancer risk by approximately 50%.,Participants who quit smoking reduce lung cancer risk by approximately 18%.,4,SuccessfulAttackResult,checklist_ribeiro_2020,,0,,3,1,5,4,,
194,Teaching hospitals do not provide better care than non-teaching hospitals.,Teaching hospitals don't provide better care than non-teaching hospitals.,2,SuccessfulAttackResult,checklist_ribeiro_2020,,1,1,,,,,1,
