,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom,
53,High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,low levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,22,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
54,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.","Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with health events in humans.",29,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,4,,,
55,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.","lower plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.",23,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
58,"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.","IFI16 impedes STING phosphorylation and translocation, resulting in increased activation of STING.",39,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
59,IL-10 production by monocytes inhibits CD4 + T cell response.,.-10 production by monocytes inhibits CD4 + T cell response.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,,
65,Incidence of sepsis has fallen substantially from 2009 to 2014.,Incidence of sepm has fallen substantially from 2009 to 2014.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",1,"(2, 5)",,,
68,Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,Inhibiting HDAC6 increases development of mice with ARID1A mutated tumors.,25,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,4,,,
79,Medications to treat obesity are highly effective.,Medications to treat hunger are highly effective.,11,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,4,,,
83,Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced appetite and insulin resistance.,19,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,,
84,Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,Mice that lack Interferon-γ or its receptor are less susceptible to experimental autoimmune myocarditis.,30,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
87,Migraine with aura is associated with ischemic stroke.,Migraine with aura is associated with ischemic vision.,25,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,5,,,
96,PD-1 triggering on monocytes enhances IL-10 production by monocytes.,PD-1 triggering on monocytes enhances il-2 production by monocytes.,26,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,2,4,,,
98,PKG-la does not have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.,.kg-la does not have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.,23,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,,
100,Participants who quit smoking reduce lung cancer risk by approximately 50%.,Participants who re smoking reduce lung cancer risk by approximately 50%.,17,SuccessfulAttackResult,bert_attack_li_2020,0,,2,"(1, 2)",1,"(2, 5)",,,
101,Patients with common epithelial cancers  are more likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,Patients with common epithelial cancers  are more less to have an emergency event as their first hospital admission if they live in resource-deprived areas.,48,SuccessfulAttackResult,bert_attack_li_2020,0,,2,"(1, 2)",1,"(2, 5)",,,
103,Pioglitazone use is significantly associated with an increased risk of prostate cancer.,Pioglitazone use is significantly associated with an greater risk of prostate cancer.,32,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,2,
114,Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,Scapular stabilize- exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,25,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,2,
115,Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.,Students who perform well in the early years of medical school are at increased risk for professional misconduct later in their careers.,54,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
116,Suboptimal nutrition is a leading cause of premature death,subcyti. nutrition is a leading cause of premature death,14,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",1,"(2, 5)",,,
117,Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.,Surgical treatment is not superior to non-surgery in treating adults with displaced fractures of the proximal humerus.,21,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,,
123,The DESMOND program caused substantial weight loss in most participants.,The DESMOND program caused substantial weight loss in most students.,17,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,,
124,The PDPN gene deactivates the C-type lectin receptor (CLEC-2).,The PDPN gene tctactivates the C-type lectin receptor (CLEC-2).,23,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",1,"(2, 5)",,,
129,The most prevalent adverse events to Semaglutide are cardiovascular.,The most associated adverse events to Semaglutide are cardiovascular.,14,SuccessfulAttackResult,bert_attack_li_2020,1,2,,,,,3,3,***
130,The most prevalent adverse events to Semaglutide are gastrointestinal.,The most prevalent adverse events to Semaglutide are gastrointthroat.,13,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",1,"(2, 5)",,,
132,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is independent of the patient's genetic make-up.,The relationship between a breast cancer patient's capacity to metabolize tamoxifer and treatment outcome is independent of the patient's genetic make-up.,24,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,2,5,,,
133,The risk of cancer rises with level of alcohol consumption.,The risk of leukemia rises with level of alcohol consumption.,20,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,,
134,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners harming themselves is ten times that of female prisoners.,39,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,"(4, 5)",,,
135,There is a positive correlation between hip fractures and statin use.,There is a positive correlation between knee fractures and statin use.,15,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,4,,,
142,Ultrasound guidance significantly reduces the number of needle insertion attempts necessary for a given procedure.,Ultrasound guidance significantly increases the number of needle insertion attempts necessary for a given procedure.,27,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
143,Ultrasound guidance significantly reduces the number of traumatic procedures when attempting needle insertion.,Ultrasound guidance significantly increases the number of traumatic procedures when attempting needle insertion.,24,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
145,Vitamin D deficiency effects birth weight.,Vitamin D deficiency increases birth weight.,15,SuccessfulAttackResult,bert_attack_li_2020,0,,2,1,1,4,,,
146,Vitamin D is an important factor in the relationship between calcium and parathyroid hormone.,Vitamin D is an essential factor in the relationship between calcium and parathyroid hormone.,18,SuccessfulAttackResult,bert_attack_li_2020,1,2,,,,,3,3,***
148,ALDH1 expression is associated with poorer prognosis in breast cancer.,ALDH1 expression is associated with better prognosis in breast cancer.,23,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
149,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,Angiotensin converting enzyme inhibitors are associated with greater risk for functional renal insufficiency.,20,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,,
150,Anthrax spores can be disposed of easily after they are dispersed.,.hrax spores can be disposed of easily after they are dispersed.,16,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,,
151,Articles published in open access format are more likely to be cited than traditional journals.,Articles published in closed access format are more likely to be cited than traditional journals.,23,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
153,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,.login transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,23,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",1,"(2, 5)",,,
154,Autophagy declines in aged organisms.,Autophagy declines in aged animals.,9,SuccessfulAttackResult,bert_attack_li_2020,1,2,,,,,3,3,
156,CX3CR1 on the Th2 cells suppresses airway inflammation.,CX3CR1 on the th1 cells suppresses airway inflammation.,17,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,4,,,
157,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,Cell independent sex determination in somatic cells does not occur in Galliformes.,18,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,5,,,
158,Chenodeosycholic acid treatment increases whole-body energy expenditure.,Chenodeosycholic acid treatment increases whole-body energy spending.,11,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,1,
161,Dexamethasone decreases risk of postoperative bleeding.,.drethasonine decreases risk of postoperative bleeding.,11,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,,
162,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,37,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
163,Enhanced early production of inflammatory chemokines improves viral control in the lung.,Enhanced early production of inflammatory chemokines increases viral control in the lung.,31,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,,
165,Exposure to fine particulate air pollution is relate to anxiety prevalence.,Exposure to fine particulate air pollution is linked to anxiety prevalence.,30,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,,
166,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,39,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
169,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,low levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,20,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
170,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,.fibrinogenism decreases rates of femoropopliteal bypass thrombosis.,12,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,,
171,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,.fibrinogenemia increases rates of femoropopliteal bypass thrombosis.,12,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,,
175,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,Leuko-reduced blood increases infectious complications in red blood cell transfusion.,20,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
176,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,Lupus-prone mice infected with curliproducing bacteria have lower autoantibody titers compared to controls.,34,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
184,PD-1 triggering on monocytes reduces IL-10 production by monocytes.,.-s triggering on monocytes reduces IL-10 production by monocytes.,14,SuccessfulAttackResult,bert_attack_li_2020,0,,3,"(1, 2)",2,"(2, 5)",,,
186,Podocytes are motile and migrate in the presence of injury.,Podocytes are motile and migrate in the absence of injury.,24,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
187,Pyridostatin destabilizes the G - quadruplex in the telomeric region.,Pyridostatin destabilizes the G - quadruplex in the telomeric area.,31,SuccessfulAttackResult,bert_attack_li_2020,1,1,,,,,3,1,
189,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,the up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,25,SuccessfulAttackResult,bert_attack_li_2020,1,2,,,,,3,3,
191,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.,28,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,6,,,
194,Teaching hospitals do not provide better care than non-teaching hospitals.,Teaching the do not provide better care than non-teaching hospitals.,13,SuccessfulAttackResult,bert_attack_li_2020,0,,2,"(1, 2)",1,"(2, 5)",,,
198,The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,The severity of cardiac activity in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,25,SuccessfulAttackResult,bert_attack_li_2020,0,,1,1,1,4,,,
202,Vitamin D deficiency is unrelated to birth weight.,the D deficiency is unrelated to birth weight.,10,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,1,5,,,
