,org_claim,gen_claim,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom,
721,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has benefited mental health benefit,0,,,,,,,,
727,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,The lack of use of non-invasive ventilation should be reduced if there is inadequate response to conventional treatments.,0,,,,,,,,
728,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to the conventional treatment, it should be reduced by non-invasive ventilation.",0,,,,,,,,
729,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If a non-invasive ventilation use is not adequate to standard treatment, then it should be reduced.",0,,,,,,,,
749,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective by the pressure of infection.,0,,,,,,,,
752,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data contained in CRCT lack external validity.,0,,,,,,,,
753,Cost effectiveness evaluations based on cRCT data lack external validity.,Evaluations of cost effectiveness based on cRCT data lack external validity,1,1,,,,,"(5, 12)",2,
755,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the CRCT data are lacking external validity,0,,,,,,,,
765,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students who perform poorly in the early years of medical education are less likely to later commit professional misconduct.,1,1,,,,,"(3, 5)",,
767,Bariatric surgery has a positive impact on mental health.,Dr. Bariatric surgery has influenced people mentally health with positive results,0,,,,,,,,
768,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has regarded as having optimum mental health results.,0,,,,,,,,
769,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has opportune impact on mental health.,0,,,,,,,,
773,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,It should be less than the use of invasive ventilation when there is inadequate response to conventional treatment,0,,,,,,,,
774,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"No-invasive ventilation, should be reduced when there is lack of response to conventional treatment",0,,,,,,,,
800,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the threat of anti-microbial use, more effective agents are available.",0,,,,,,,,
801,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, more effective anti-bacterial agents are.",0,,,,,,,,
811,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has based on mental health positive impact.,0,,,,,,,,
812,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has influenced mental health positively.,0,,,,,,,,
816,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatments, the use of non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
817,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,The non-invasive ventilation may be reduced if there is inadequate response to the conventional treatment.,0,,,,,,,,
846,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antibiotic agents are stronger due to its use of antimicrobials.,0,,,,,,,,
849,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations for cRCT data lack external validity.,0,,,,,,,,
855,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has opportune impacts on mental health,0,,,,,,,,
856,Bariatric surgery has a positive impact on mental health.,The bariatric surgery has measurable positive effects on the health of the mind.,1,2,,,,,"(7, 8)",1,
858,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is no appropriate response to conventional treatment, Non-invasive ventilation should be reduced.",1,2,,,,,"(5, 8, 12)",2,
859,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,If there is an inadequate response to conventional treatment then non-invasive ventilation should be reduced.,1,1,,,,,"(3,  5)",,
860,The risk of male prisoners harming themselves is ten times that of female prisoners.,The risk of men prisoners personally harming is ten times higher than females,0,,,,,,,,
932,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial Agents are under less effective due to the pressure of antibacterial usage.,0,,,,,,,,
933,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the press of antimicrobial usage, antibacterial agents are more effective.",0,,,,,,,,
934,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to antibacterial use pressure.,0,,,,,,,,
935,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Due to the effect of antimicrobial use they are more effective.,0,,,,,,,,
937,Cost effectiveness evaluations based on cRCT data lack external validity.,Most cost effectiveness studies based on the cRCT data lack external validity.,0,,,,,,,,
948,Bariatric surgery has a positive impact on mental health.,The bariatric surgery has – to  positive impact on mental health.,0,,,,,,,,
978,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective because of the pressure and antimicrobial use.,0,,,,,,,,
979,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to a pressure of antibiotrophysic usage.,0,,,,,,,,
980,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the effort of anti-bacterial use.,0,,,,,,,,
981,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on data from the RCT fail to provide external validity.,0,,,,,,,,
982,Cost effectiveness evaluations based on cRCT data lack external validity.,External cost effectiveness evaluations based on cRCT data lack external validity.,0,,,,,,,,
991,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has h-Number affect on mental health,0,,,,,,,,
997,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Using noninvasive ventilation should be reduced when there is an inadequate response to conventional treatment.,1,1,,,,,8,,
1019,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are reduced due to the influence of anti-microbes.,0,,,,,,,,
1020,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the strain of antibacterial use.,0,,,,,,,,
1021,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Auxiliary of the usage anti-microbial agents are much more effective.,0,,,,,,,,
1034,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, indeed. A positive impact on mental health is",0,,,,,,,,
1035,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has impacted on psychological health positively,0,,,,,,,,
1036,Bariatric surgery has a positive impact on mental health.,"In a positive way, surgery on the mental health has been associated with Bari-Panelists.",0,,,,,,,,
1040,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"For example, the non-invasive ventilation should be reduced when there is an inadequate response to standard treatment.",1,2,,,,,8,2,
1041,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"Assuming that there is inadequate response in the conventional treatment, non-invasive ventilation should be reduced.",1,2,,,,,"(5, 8)",,
1042,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Conventional ventilation should be decreased when the effectiveness of it is inadequate.,0,,,,,,,,
1069,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobials are less effective due to the usage pressure.,1,2,,,,,8,,
1082,Bariatric surgery has a positive impact on mental health.,bariatric procedure has accompanied to an effective effect on mental health.,0,,,,,,,,
1083,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has ointment beneficial impact on mental health.,0,,,,,,,,
1087,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"Similarly, non-invasive ventilation should be reduced when there are low results to conventional treatment.",0,,,,,,,,
1088,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
1089,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, use of non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
1090,The risk of male prisoners harming themselves is ten times that of female prisoners.,Male prisoners'risking to harm themselves is ten times greater than female prisoners,0,,,,,,,,
1112,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"Aufgrund of the pressure on antimicrobial use, agents are less effective.",0,,,,,,,,
1125,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, use of non-invasive ventilation should be lessened.",1,2,,,,,"(3, 5)",,
1144,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the use of antimicrobial drugs.,0,,,,,,,,
1145,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"By the pressure of antimicrobial usage, anti-bacteral agents become more effective.",0,,,,,,,,
1148,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on data from the CRCT lack external validity.,0,,,,,,,,
1163,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has influenced the mental health positively.,0,,,,,,,,
1164,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has influenced on mental health positively.,1,3,,,,,8,2,
1169,The risk of male prisoners harming themselves is ten times that of female prisoners.,The risk of harming the individual is ten times that for female prisoners.,0,,,,,,,,
1193,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of anti-microbial use, antibacterial agents are more effective.",0,,,,,,,,
1194,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness appraisals based on cRCT data lack external validity.,1,1,,,,,8,,
1195,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data RCT lack external validity.,0,,,,,,,,
1202,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has boosted mental health with positive impact,1,2,,,,,"(5, 7, 11)",2,
1206,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional therapy, the non-invasive ventilation use should be decreased.",1,2,,,,,"(5, 7)",,
1236,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial usage, antibacterial agents are more effective than other substances",0,,,,,,,,
1237,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial usage, anti-bacterial agents are more effective.",0,,,,,,,,
1250,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is a no-invasive ventilation device, use should be reduced when conventional therapy is inadequate.",0,,,,,,,,
1251,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, it should be decreased by non-invasive ventilation.",0,,,,,,,,
1252,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Should be reduced the use of a non-invasive ventilation process if there is no response to conventional treatment.,0,,,,,,,,
1253,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, then it should be reduced when the usage of non-invasive ventilation is decreased.",0,,,,,,,,
1276,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Since antimicrobial agents are more effective due to the pressure of antibacterial use.,0,,,,,,,,
1285,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students whose earlier in the early years of their medical education perform poorly are less likely to commit professional misconduct later in career.,0,,,,,,,,
1290,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Dienation should be decreased if there is an inappropriate response to conventional treatment.,0,,,,,,,,
1317,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness valuations based on CRCT data lack external validity.,0,,,,,,,,
1324,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,The DESMOND programme does not revers any significant difference on lifestyle outcomes.,0,,,,,,,,
1326,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has gotten to have if positive impact on mental health,0,,,,,,,,
1329,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is a lack of the conventional treatment, then use noninvasive ventilation should be decreased.",0,,,,,,,,
1330,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is no adequate response to conventional treatment, a less-invasive ventilation use should be reduced.",0,,,,,,,,
1349,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"As a result of the pressure of antimicrobial use, antibacterial agents are more effective than",0,,,,,,,,
1350,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, an antibacterial agent is more effective than.",0,,,,,,,,
1351,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobials are more effective due to the use of antibacterial agents.,0,,,,,,,,
1361,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,If the non-invasive ventilation use is inadequate to conventional treatment it should be decreased.,0,,,,,,,,
1362,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,If the conventional treatment has not responded to a satisfactory result there should be reduced use of non-invasive ventilation.,0,,,,,,,,
1393,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the pressure of anti-microbacteria use.,0,,,,,,,,
1394,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,The fact that antimicrobials are put more effective is as a result of the influence.,0,,,,,,,,
1395,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are able to be used in order of the pressure of antibacterial usage more effective.,0,,,,,,,,
1397,Cost effectiveness evaluations based on cRCT data lack external validity.,Evaluations of Cost-effectiveness based on CRCT data lack external validity.,0,,,,,,,,
1398,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on cRCT data have limited external validity.,0,,,,,,,,
1405,Bariatric surgery has a positive impact on mental health.,"On the mental health, bariatric surgery has utmost impact",0,,,,,,,,
1406,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has effected the health of mental healthcare positively.,0,,,,,,,,
1407,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has. positively influence on health mentality,0,,,,,,,,
1437,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to antimicrobial use pressures.,1,2,,,,,5,,
1454,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, the use of non-invasive ventilation should be decreased.",1,1,,,,,5,,
1475,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are underthe pressure of antimicrobial use less effective.,0,,,,,,,,
1476,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the strain of antimicrobial use.,0,,,,,,,,
1477,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the cRCT data lack external reliability of,0,,,,,,,,
1479,Cost effectiveness evaluations based on cRCT data lack external validity.,Evaluations of cRCT data regarding cost effectiveness lack external validity.,0,,,,,,,,
1480,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data from cRCT lack external validity.,1,1,,,,,7,,
1489,Bariatric surgery has a positive impact on mental health.,bariatric surgery has if have positive effects on mental health.,0,,,,,,,,
1492,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation should be reduced if there is an inadequate response to the conventional treatment.,1,2,,,,,"(3, 7)",,
1528,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"due to the pressure of antimicrobial uses, more effective antibacterial agents are used.",0,,,,,,,,
1529,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the pressure of this anti-Microbial usage.,0,,,,,,,,
1542,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has mediated psych health.,0,,,,,,,,
1543,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, on mental health positive results.",0,,,,,,,,
1544,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has  positive results on mental health.,1,2,,,,,8,1,
1545,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has resulting positively on cognitive health.,0,,,,,,,,
1546,Bariatric surgery has a positive impact on mental health.,The bariatric surgery has an effect on mental health positive.,0,,,,,,,,
1547,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,There should be a minimal non-invasive ventilation when there is an insufficient response to conventional treatment.,0,,,,,,,,
1548,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate reaction to conventional treatment, the use of non-invasive ventilation should be reduced.",0,,,,,,,,
1580,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost-effective evaluations based on CRCT data lack external validity.,0,,,,,,,,
1592,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students who perform poorly in their first year of medical school are less likely to commit professional misconduct later in life.,1,1,,,,,8,,
1596,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"When the non-invasive ventilation is not enough to tolerate conventional treatment, it should be decreased.",0,,,,,,,,
1597,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,It should be reduced in the case of inadequate response to conventional treatment if there is non-invasive ventilation.,0,,,,,,,,
1616,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,An antimicrobial agents are less effective due to the pressure of antimicrobial usage.,0,,,,,,,,
1617,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more efficient due to the pressure of antibacterial use.,0,,,,,,,,
1619,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data of cRCT provide lack external validity.,0,,,,,,,,
1625,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has influenced the mental health of positive influence.,0,,,,,,,,
1626,Bariatric surgery has a positive impact on mental health.,"On the mental health, bariatric surgery has measurable positive effects.",0,,,,,,,,
1627,Bariatric surgery has a positive impact on mental health.,The bariatric surgery has based on positive mental health effect.,0,,,,,,,,
1628,Bariatric surgery has a positive impact on mental health.,#NAME?,0,,,,,,,,
1657,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure imposed by antimicrobial products, antimicrobides are more effective than others.",0,,,,,,,,
1661,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness évaluations based on data from cRCT lack external validity.,0,,,,,,,,
1674,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has measurable and positive impact on the mental health.,0,,,,,,,,
1678,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to the conventional treatment, non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5, 7)",,
1679,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If the conventional treatment is not sufficient, the minimal ventilation should be decreased.",0,,,,,,,,
1708,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are under the pressure of antiseptic usage less effective.,0,,,,,,,,
1709,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial products are under pressure from the antigid - medication is less effective.,0,,,,,,,,
1716,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, in effect with  sd’ good health.",0,,,,,,,,
1717,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has 'positive impact on mental health,0,,,,,,,,
1727,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,A non-invasive ventilation usage should be reduced if there is an inadequate response to conventional treatment.,0,,,,,,,,
1729,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation should be reduced if there is an inadequate response to conventional treatments.,1,1,,,,,8,,
1756,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"In the light of pressure associated with antimicrobial use, antibacterial agents are less effective.",0,,,,,,,,
1758,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the anti-bacterial pressure.,0,,,,,,,,
1761,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on Data RCT lack external validity,0,,,,,,,,
1763,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on computerized RCT data are lacking external validity,0,,,,,,,,
1777,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students who perform poorly in the first year of medical school are less likely to commit serious misconduct later by their career.,0,,,,,,,,
1783,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has ote to boost your mental health positively.,0,,,,,,,,
1784,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has huv impacts on mental health.,0,,,,,,,,
1790,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation use should be reduced if there is an inadequate response to conventional treatments.,1,1,,,,,8,,
1812,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to its effect of antimicrobial activity, the agents are more effective than others.",0,,,,,,,,
1813,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the importance of antimicrobial use, they are more effective.",0,,,,,,,,
1822,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has viewed sway on mental health.,0,,,,,,,,
1823,Bariatric surgery has a positive impact on mental health.,The bariatric surgical procedure has e.g’ on mental health benefits,0,,,,,,,,
1854,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective because of the pressure on anti-Microbial utilisation.,0,,,,,,,,
1855,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobials are more effective due to the influence of anti-bacterial use.,0,,,,,,,,
1856,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Because of the antimicrobial use pressures are more effective.,0,,,,,,,,
1857,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Some antimicrobial agents are more effective due to the pressure of the use.,0,,,,,,,,
1858,Cost effectiveness evaluations based on cRCT data lack external validity.,cRCT cost effectiveness studies on based data lack external validity.,0,,,,,,,,
1859,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost - effectiveness evaluations based on cRCT data lack external validity.,1,2,,,,,12,2,
1871,Bariatric surgery has a positive impact on mental health.,Is a positive impact of bariatric surgery on mental health,0,,,,,,,,
1873,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, the use of non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
1875,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, a decrease should be made in non-invasive ventilation use.",0,,,,,,,,
1893,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimidants are less effective due to the pressure of antimicrobial usage.,0,,,,,,,,
1894,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"Due to the pressure of antibacterial use, antibiotics are less effective",0,,,,,,,,
1895,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Because of the pressure caused by the antimicrobial usage, anti-bacterial agents are more effective than",0,,,,,,,,
1896,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the use of antimicrobial devices.,0,,,,,,,,
1899,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness estimations based on cRCT data lack external validity.,1,1,,,,,3,,
1900,Cost effectiveness evaluations based on cRCT data lack external validity.,Costing results of effectiveness evaluations based on CRT data lack external validity.,0,,,,,,,,
1901,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness studies based on data from the CRCT lack external validity.,0,,,,,,,,
1941,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to a pressure of antimicrobial use.,0,,,,,,,,
1944,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost-effectiveness evaluations based on the cRCT data lack external validity.,0,,,,,,,,
1945,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness analyses based on cRCT data are lacking external validity.,1,1,,,,,"(3, 8)",,
1952,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has avait positive effect on mental health,0,,,,,,,,
1953,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has sated if a positive impact on mental health.,0,,,,,,,,
1957,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If the non-invasive ventilation is inadequate response to conventional treatment, then use should be decreased.",0,,,,,,,,
1958,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, the noninvasive ventilation should be decreased.",1,2,,,,,"(5, 7)",,
1982,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective in the face of the pressures of antimicron usage.,0,,,,,,,,
1983,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"During the pressure of antimicrobial use, antimicrobial agents are less effective.",0,,,,,,,,
1986,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost - effectiveness assessment methods based on the data from CRT lack external validity.,0,,,,,,,,
1987,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on data from the RCT (CRCtratie Research Institute) lack external validity.,0,,,,,,,,
1995,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has cited, had positive impact on mental health.",0,,,,,,,,
2002,The risk of male prisoners harming themselves is ten times that of female prisoners.,The risk of males affecting self is ten times larger than those for female prisoners.,0,,,,,,,,
2041,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is no response to conventional treatment, non-invasive ventilation should be reduced.",1,2,,,,,"(5, 8)",,
2042,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,The non-invasive ventilation needs to be minimised if there is an inadequate response toward conventional treatments.,0,,,,,,,,
2073,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,The antibiotic agents are less effective due to the pressure of antimicrobial treatment.,0,,,,,,,,
2075,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antibacterial agents are more effective due to the use of antimicrobials.,0,,,,,,,,
2078,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data from CRCT are lacking external validity.,0,,,,,,,,
2079,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data of CRRTS are lacking external validity.,0,,,,,,,,
2087,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has  and has positive impact on mental health.,0,,,,,,,,
2088,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, on the mental health hygistic effect.",0,,,,,,,,
2089,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has regulated mental health positively.,0,,,,,,,,
2094,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatments, non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
2095,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation may be decreased if there is inadequate response to conventional treatment.,0,,,,,,,,
2128,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,The antimicrobials are less effective due to the pressure of anti-microbicide usage.,0,,,,,,,,
2129,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"Because of the pressure on antimicrobials uses, an antibiotic is less effective.",0,,,,,,,,
2130,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the strain of antimicrobial usage, antibacterial agents are more effective than they were.",0,,,,,,,,
2131,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective for the antimicrobial stress.,0,,,,,,,,
2133,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost-efficiency evaluations based on CRCT data lack external validity.,0,,,,,,,,
2134,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness assessment evaluations based on cRCT data lack external validity.,0,,,,,,,,
2135,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data of the CRCT lack external validity.,0,,,,,,,,
2147,Bariatric surgery has a positive impact on mental health.,The bariatric surgery has ostensible positive impact on mental health.,0,,,,,,,,
2148,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has - with positive impact on mental health.,0,,,,,,,,
2152,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"if there is inadequate response to conventional treatment, it should be reduced in the use of non-invasive ventilation.",0,,,,,,,,
2153,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Need is a lessening the non-invasive ventilation use when there's an insufficient response to conventional medicine,0,,,,,,,,
