,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
126,The density of cytokine receptor bearing cells affects the distance over which cytokines act.,The density of cytokine receptor bearing points affects the distance over which cytokines act.,216,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
129,The most prevalent adverse events to Semaglutide are cardiovascular.,The most associated adverse events to Semaglutide are cardiovascular.,58,SuccessfulAttackResult,bae_garg_2019,1,2,,,,,3,2
130,The most prevalent adverse events to Semaglutide are gastrointestinal.,The most extreme adverse events to Semaglutide are gastrointestinal.,57,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
132,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is independent of the patient's genetic make-up.,The relationship between a breast cancer patient's capacity to metabolize antigen and treatment outcome is independent of the patient's genetic make-up.,27,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
133,The risk of cancer rises with level of alcohol consumption.,The risk of autism rises with level of alcohol consumption.,103,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
134,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female animals harming themselves is ten times that of male prisoners.,140,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
135,There is a positive correlation between hip fractures and statin use.,There is a positive correlation between ball fractures and statin use.,40,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
136,There is a relation between Erythromycin use and hypertrophic pyloric stenosis.,There is a concern between Erythromycin use and hypertrophic pyloric stenosis.,57,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,5,,
137,Tirasemtiv targets fast-twitch muscle.,Tirasemtiv targets thin muscle.,61,SuccessfulAttackResult,bae_garg_2019,0,,2,1,2,4,,
138,"Trans-acting factors, such as lncRNAs, influence mRNA translation.","Trans-acting factors, such as adrenaline, influence mRNA translation.",87,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,5,,
140,Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.,Tuberculosis-induced dogs express different immune system protein signatures than the surrounding tissue.,63,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,5,,
141,Type 1 Diabetes is associated with subtle perturbations in T reg development.,Type 1 Diabetes is associated with positive perturbations in T reg development.,150,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,5,,
142,Ultrasound guidance significantly reduces the number of needle insertion attempts necessary for a given procedure.,Ultrasound guidance significantly increases the number of needle insertion attempts necessary for a given procedure.,90,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
143,Ultrasound guidance significantly reduces the number of traumatic procedures when attempting needle insertion.,Ultrasound guidance significantly aids the number of traumatic procedures when attempting needle insertion.,107,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
145,Vitamin D deficiency effects birth weight.,Vitamin D reduction effects birth weight.,38,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
146,Vitamin D is an important factor in the relationship between calcium and parathyroid hormone.,Vitamin D is an attractive factor in the relationship between calcium and parathyroid hormone.,101,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,5,,
147,siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,siRNA knockdown of A20 accelerated tumor progression in an in vivo murine xenograft model.,137,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
148,ALDH1 expression is associated with poorer prognosis in breast cancer.,ALDH1 gene is associated with poorer prognosis in breast cancer.,53,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
149,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,Angiotensin converting enzyme inhibitors are associated with increased risk for functional apical insufficiency.,28,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
150,Anthrax spores can be disposed of easily after they are dispersed.,Anthrax agents can be disposed of easily after they are dispersed.,61,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
151,Articles published in open access format are more likely to be cited than traditional journals.,Articles published in closed access format are more likely to be cited than traditional journals.,88,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
152,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells causes fewer other infections than induction therapy with anti-interleukin-2 receptor antibodies.,118,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
153,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells has higher rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,149,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
154,Autophagy declines in aged organisms.,Autophagy continues in aged organisms.,51,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
155,Bone marrow cells contribute to adult macrophage compartments.,Bone marrow cannot contribute to adult macrophage compartments.,99,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
156,CX3CR1 on the Th2 cells suppresses airway inflammation.,CX3CR1 on the Th2 cells increased airway inflammation.,131,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
157,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,Cell autonomous capacity determination in somatic cells does not occur in Galliformes.,66,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,5,,
158,Chenodeosycholic acid treatment increases whole-body energy expenditure.,Chenodeosycholic acid treatment burns whole-body energy expenditure.,89,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
160,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,Deletion of expression does not result in a spontaneous inflammatory phenotype.,61,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
161,Dexamethasone decreases risk of postoperative bleeding.,Dexamethasone adds risk of postoperative bleeding.,47,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
162,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,Diabetic patients with acute surgical syndrome experience increased short-term and long-term risk for bleeding events.,134,SuccessfulAttackResult,bae_garg_2019,0,,2,1,2,4,,
163,Enhanced early production of inflammatory chemokines improves viral control in the lung.,Enhanced early production of inflammatory chemokines improves viral accumulation in the lung.,63,SuccessfulAttackResult,bae_garg_2019,1,2,,,,,3,3
164,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,Epigenetic modulating agents (EMAs) inhibit antitumor immune response in a cancer model system.,153,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
165,Exposure to fine particulate air pollution is relate to anxiety prevalence.,Exposure to ozone particulate air pollution is relate to anxiety prevalence.,36,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
166,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,Female carriers of the Apolipoprotein E4 (APOE4) allele have decrease risk for dementia.,189,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
167,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,FoxO3a activation in neuronal death is enhanced by reactive oxygen species (ROS).,191,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
169,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,High elevations of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,62,SuccessfulAttackResult,bae_garg_2019,1,2,,,,,3,1
170,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,Hyperfibrinogenemia decreases complications of femoropopliteal bypass thrombosis.,70,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
171,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,Hyperfibrinogenemia increases number of femoropopliteal bypass thrombosis.,69,SuccessfulAttackResult,bae_garg_2019,1,3,,,,,3,1
172,IRG1 has antiviral effects against neurotropic viruses.,IRG1 has adverse effects against neurotropic viruses.,51,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
173,Incidence rates of cervical cancer have decreased.,Incidence rates of abdominal cancer have decreased.,25,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
174,Insomnia can be effectively treated with cognitive behavioral therapy.,Insomnia can be immediately treated with cognitive behavioral therapy.,58,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
175,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,Leuko-reduced blood reduces infectious immunity in red blood cell transfusion.,180,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
176,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,Lupus-prone cases infected with curliproducing bacteria have higher autoantibody titers compared to controls.,62,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
177,Macrolides protect against myocardial infarction.,Macrolides recommend against myocardial infarction.,49,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,5,,
179,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,Monoclonal antibody deficiency of N-cadherin inhibits metastasis.,99,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
180,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,NFAT4 activation requires inactive Ca2+ mobilization.,87,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,5,,
183,Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,Neutrophil extracellular traps (NETs) are degraded by ANCA-stimulated neutrophils.,159,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
184,PD-1 triggering on monocytes reduces IL-10 production by monocytes.,PD-1 triggering on monocytes reduces calcium production by monocytes.,45,SuccessfulAttackResult,bae_garg_2019,0,,3,1,2,4,,
185,Participating in six months of physical activity improves cognitive functioning.,Participating in six months of physical activity decreased cognitive functioning.,174,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
186,Podocytes are motile and migrate in the presence of injury.,Podocytes are normal and migrate in the presence of injury.,47,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
187,Pyridostatin destabilizes the G - quadruplex in the telomeric region.,Pyridostatin forms the G - quadruplex in the telomeric region.,47,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
189,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,Rapid up-regulation and higher basal expression of interferon-induced genes impaired survival of granule cell neurons that are infected by West Nile virus.,154,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
190,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,Sildenafil improves erectile function in men who maintain sexual dysfunction as a result of the use of SSRI antidepressants.,162,SuccessfulAttackResult,bae_garg_2019,1,3,,,,,3,3
191,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,Stroke patients with prior use of direct oral anticoagulants have a weaker risk of in-hospital mortality than stroke patients with prior use of warfarin.,58,SuccessfulAttackResult,bae_garg_2019,1,2,,,,,3,3
194,Teaching hospitals do not provide better care than non-teaching hospitals.,Teaching hospitals do not allow better care than non-teaching hospitals.,60,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
195,The PRR MDA5 is a sensor of RNA virus infection.,The PRR MDA5 is a clone of RNA virus infection.,143,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
196,The extracellular domain of TMEM27 is cleaved in human beta cells.,The extracellular domain of TMEM27 is localized in human beta cells.,160,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
197,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and cure outcome is dependent on the patient's genetic make-up.,61,SuccessfulAttackResult,bae_garg_2019,1,2,,,,,3,1
198,The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of mean gadolinium enhancement in MRI.,40,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
200,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,Upregulation of glucose is induced upon infection with West Nile virus.,61,SuccessfulAttackResult,bae_garg_2019,0,,2,1,2,4,,
201,Vitamin D deficiency effects the term of delivery.,Vitamin D deficiency effects the angle of delivery.,113,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
202,Vitamin D deficiency is unrelated to birth weight.,Vitamin b deficiency is unrelated to birth weight.,32,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,4,,
203,cSMAC formation enhances weak ligand signalling.,cSMAC formation implies weak ligand signalling.,65,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,4,,
,,,,,,0,,2,1,1,4,,
